driveruuid,week_date,supply_hours,trip_hours
391efe5a-fabf-43bd-a5e7-6f7ace587bd2,11/22/2021,63.01666,30.08333
7e770f9d-e3e7-4cf7-9790-80948d1f1ca7,11/22/2021,79.88333,38.63333
e4849005-bd6f-4c44-bfb5-09c0a70c672c,11/22/2021,75.58333,39.63333
73e127c0-dd7f-4637-8126-ae278fade6cf,11/22/2021,36.76666,14.45
4e7ce887-6332-4c87-883b-2704ca6279ee,11/22/2021,66.31666,15.3
1e2a43b1-10c7-4530-8582-9004904da430,11/22/2021,60.63333,27.36666
27b43006-eaa1-4cab-9d4d-7d964ff20c01,11/22/2021,72.11666,26.4
b5d818d9-f75f-48d5-8bb2-092e8ced6624,11/22/2021,64.38333,33.86666
05b21f09-82bd-4700-b129-2924d9caa0c8,11/22/2021,79.25,43.38333
37e4b055-d577-4400-8fd1-274f30d71edc,11/29/2021,61.95,16.18333
405d3aa0-9a4f-4078-9897-1aeb99a83d76,11/29/2021,28.5,7.91666
7ecefda1-38e8-4dfc-bd0b-26086d109c85,11/29/2021,3.45,1.33333
d78e93e4-33a8-4026-9f1e-cf8af8d94331,11/29/2021,14.95,6.41666
f68b9f60-5b50-49d1-9617-a081765fd6ac,11/29/2021,52.98333,23.88333
fcd39e00-30e7-4893-9a26-907e29d33f22,11/29/2021,67.95,35.85
42d1861f-7e1c-4d83-b912-84a7351870c4,11/29/2021,38.15,7.53333
7e574e04-e42e-4b40-b9bc-e4fc99f92822,11/29/2021,21.21666,0.08333
60e24218-a9cd-4344-a79e-ddbc78345e34,11/29/2021,82.88333,47.65
5070b315-eba0-4478-bd47-2fc1318bec56,11/29/2021,73.9,39.51666
2f39e80c-1d86-4bd3-a9ac-ea21e1f35dbc,11/29/2021,68.25,29.5
0c09298b-4156-483c-b8ca-f7bff13693d3,11/29/2021,58.38333,26.56666
4378e378-898e-43fd-a1c8-0f22d59621e8,11/29/2021,56.35,16.43333
e351c89a-c080-4e55-a68f-967d30651a76,11/29/2021,52.5,18.28333
4e174a23-5fcb-46f7-ad15-1d726129a541,11/29/2021,73.76666,42.3
a20cd138-ffad-455d-a834-a6344531b3dc,11/29/2021,60.63333,13.66666
3e54b77a-edb6-4ef5-bc18-3a777cdc4159,11/29/2021,75.28333,25.41666
208e8401-5bae-45ec-aa3d-4f27c9d708af,11/29/2021,64,30.7
1c91b39f-dd34-4a88-90a2-88c75dd4c286,11/29/2021,66.6,39.28333
d5b92e0a-b71d-4fe4-9590-c784e402246a,11/29/2021,56.6,13.41666
391efe5a-fabf-43bd-a5e7-6f7ace587bd2,11/29/2021,56.2,22.93333
38672f8a-80f5-4d99-8bc2-687bf3bbbc6c,11/29/2021,13.85,4.95
c4328d0c-7df6-458b-9ee3-c355a0489473,11/29/2021,63.1,36.75
8b58fe38-1968-41e3-ae48-581e0bf98a2b,11/29/2021,18.11666,1.3
071ca342-a7f2-4ce9-84bc-11ee161d5705,11/29/2021,74.73333,28.05
10374e3b-1a64-4f83-86f6-56a0707cfb4d,11/29/2021,35.46666,10.56666
23767254-acb5-4577-b91d-899f148305b7,11/29/2021,49.51666,26.1
e4849005-bd6f-4c44-bfb5-09c0a70c672c,11/29/2021,64.33333,36.55
f9488aad-3b63-48bb-b65a-6f821ffd7fb6,11/29/2021,80.13333,34.36666
4e7ce887-6332-4c87-883b-2704ca6279ee,11/29/2021,64.6,17.73333
be275976-4a8e-40bf-8213-2c587daf70f1,11/29/2021,63.03333,30.78333
1e2a43b1-10c7-4530-8582-9004904da430,11/29/2021,60.68333,29.95
18306656-762e-484f-8fb9-f363082beee5,11/29/2021,44.93333,18.23333
e989d85d-3796-4958-97d5-a5e1bbbf5b4e,11/29/2021,71.85,27.05
a4812789-4bcb-43fb-ae12-36d5830c721a,11/29/2021,60.78333,29.75
